TIME,O3PPM,TMP,RH%
11:35:5,7.759334,31.0,22.1
11:35:5,7.768068,31.0,22.1
11:35:5,7.7705364,31.0,22.1
11:35:5,7.781559,31.0,22.1
11:35:5,7.7736716,31.0,22.1
11:35:5,7.782176,31.0,22.1
11:35:5,7.7790885,31.0,22.1
11:35:6,7.788025,31.0,22.1
11:35:6,7.7904973,31.0,22.1
11:35:6,7.7971582,31.0,22.1
11:35:6,7.7932086,31.0,22.1
11:35:6,7.7980156,31.0,22.1
11:35:6,7.8004894,31.0,22.1
11:35:6,7.8029647,31.0,22.1
11:35:7,7.806965,31.0,22.1
11:35:7,7.8071537,31.0,22.1
11:35:7,7.814443,31.0,22.1
11:35:7,7.81735,31.1,22.1
11:35:7,7.820065,31.1,22.1
11:35:7,7.822543,31.0,22.2
11:35:8,7.821305,31.0,22.2
11:35:11,7.8263106,31.0,22.2
11:35:11,7.830269,31.0,22.2
11:35:12,7.8844194,31.0,22.2
11:35:12,7.9465723,31.0,22.2
11:35:12,7.966597,31.0,22.2
11:35:12,8.000359,31.0,22.2
11:35:13,8.056921,31.0,22.2
11:35:13,8.131197,31.0,22.2
11:35:13,8.248207,31.0,22.2
11:35:13,8.380642,31.0,22.2
11:35:13,8.556321,31.0,22.2
11:35:13,8.747593,31.0,22.2
11:35:14,8.968626,31.0,22.2
11:35:14,9.202958,31.0,22.2
11:35:14,9.450302,31.0,22.2
11:35:14,9.70458,31.0,22.2
11:35:14,9.953524,31.0,22.2
11:35:14,10.201912,31.0,22.2
11:35:14,10.440421,31.0,22.2
11:35:15,10.679514,31.0,22.2
11:35:15,10.911497,31.0,22.2
11:35:15,11.139795,31.0,22.2
11:35:15,11.362885,31.0,22.2
11:35:15,11.599549,31.0,22.2
11:35:15,11.815099,31.0,22.2
11:35:16,12.039868,31.0,22.2
11:35:16,12.255413,31.0,22.2
11:35:16,12.456719,31.0,22.2
11:35:16,12.662034,31.0,22.2
11:35:16,12.869395,31.0,22.2
11:35:16,13.069098,31.0,22.2
11:35:16,13.264949,31.0,22.2
11:35:17,13.460902,31.0,22.2
11:35:17,13.644804,31.0,22.2
11:35:17,13.8323145,31.0,22.2
11:35:17,14.008051,31.0,22.2
11:35:17,14.182713,31.0,22.2
11:35:17,14.359015,31.0,22.2
11:35:18,14.529366,31.0,22.2
11:35:18,14.695125,31.0,22.2
11:35:18,14.859273,31.0,22.2
11:35:18,15.036714,31.0,22.2
11:35:18,15.203793,31.0,22.2
11:35:18,15.357285,31.0,22.2
11:35:19,15.531033,31.0,22.2
11:35:19,15.688096,31.0,22.2
